Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 localhost:domain        0.0.0.0:*               LISTEN     
tcp        0      0 localhost:ipp           0.0.0.0:*               LISTEN     
tcp        0      0 localhost:6463          0.0.0.0:*               LISTEN     
tcp        0      0 Louie-Linux:53068       lax28s15-in-f16.1:https ESTABLISHED
tcp        0      0 Louie-Linux:45510       lax17s44-in-f2.1e:https TIME_WAIT  
tcp        0      0 Louie-Linux:33898       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:33906       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      1 Louie-Linux:44490       198.105.244.23:http     SYN_SENT   
tcp        0      0 Louie-Linux:33910       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:33900       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:48268       229.26.211.130.bc:https ESTABLISHED
tcp        0      0 Louie-Linux:33070       192.168.0.10:8009       ESTABLISHED
tcp        0      0 Louie-Linux:45186       lax17s46-in-f3.1e:https ESTABLISHED
tcp        0      1 Louie-Linux:44488       198.105.244.23:http     SYN_SENT   
tcp        0      0 Louie-Linux:33938       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:33934       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:33908       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:47350       ec2-44-238-41-205:https ESTABLISHED
tcp        0      0 Louie-Linux:38758       192.168.0.29:8008       TIME_WAIT  
tcp        0      0 Louie-Linux:33886       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:33896       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:50288       53.16.211.130.bc.:https ESTABLISHED
tcp       78      0 Louie-Linux:59980       104.244.42.133:https    CLOSE_WAIT 
tcp        0      0 Louie-Linux:33912       ec2-54-82-161-19.:https ESTABLISHED
tcp        0      0 Louie-Linux:58958       104.244.42.65:https     ESTABLISHED
tcp        0      0 Louie-Linux:52374       lax31s01-in-f10.1:https ESTABLISHED
tcp        0      0 Louie-Linux:55634       lax17s44-in-f10.1:https ESTABLISHED
